CUSTOMER;PRODUCT;TRANSACTION TYPE;YEAR;GROUP TYPE;PROSPECT TYPE;STRATEGIC INITIATIVE;SALES TYPE;PROJECT MANAGER;HANGAR;LINE;UNIT;AMS;AREA;COUNTRY;REGION;AC/ENG/APU/COMP;AC-REG;MAINTENANCE EVENT;MARKET SHARE;SALES PLAN;Sales Updated;REMARKS;SO NUMBER;START DATE;TAT;END DATE;SALES LEVEL;STATUS;CANCEL REASON;DETAILED CANCEL REASON
Pertamina Hulu Energi OSES;IGTE;TMB Project;2023;NGA;;;Additional;;;;;HH;I;;;Frame 5;;Repair Rotor dan Compressor stator replacement;;;1000000;Budgetary proposal sudah submit selanjutnya Pertamina sedang menyiapakan dokumen tender resminya.;;2023-04-28;210;2023-11-24;3;Open;;
Pertamina RU V;IGTE;TMB Project;2023;NGA;;;Additional;;;;;HH;I;;;Electric motor;Various;Overhaul 14 unit motor On call basis;;;150000;Menunggu info hasil pembukaan tender oleh Pertamina RU V Balikpapan;;2023-04-10;210;2023-11-06;3;Open;;
Air Atlanta Icelandic;Airframe;TMB Project;2023;NGA;;;Additional;;;;;JD;III;;;B747-400;9H-AZA;C-Check;;;500000;Air Atlanta Europe;;2023-02-22;30;2023-03-24;1;Closed - Sales;;
Gainjet;Airframe;TMB Project;2023;NGA;;;Additional;;;;;AR;II;;;B737-400;SX-ATF;C check;;;150000;;;2023-02-02;14;2023-02-16;3;Cancelled;Reschedule;Due to no hanggar slot reschedule to May 2023
Aero Dili Transport;Airframe;TMB Project;2023;NGA;;;Additional;;;;;AR;II;;;A320;TBA;C check;;;150000;;;2023-06-06;15;2023-06-21;4;Open;;
Indonesia AirAsia;Airframe;TMB Project;2023;NGA;;;Additional;;;;;IH;II;;;A320;PK-AZR;S/R -  Pre Service and Sticker Livery;;;25000;;;2023-02-18;7;2023-02-25;1;Closed - In;;
Vietjet Air;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;CMF56-5;VN-A670;C02-Check;;;150000;;;2023-02-10;12;2023-02-22;3;Cancelled;Pricing;GMF Price 60%-70% higher compare to local MRO in Vietnam
Bamboo Airways;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;V2500;VN-A583;C08+Reconfiguration;;;200000;;;2023-04-11;24;2023-05-05;3;Cancelled;Pricing;GMF Price 60%-70% higher compare to local MRO in Vietnam
Bamboo Airways;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;V2500;VN-A584;C08-Check;;;150000;;;2023-05-08;24;2023-06-01;3;Cancelled;Pricing;GMF Price 60%-70% higher compare to local MRO in Vietnam
Bamboo Airways;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;LEAP 1A;VN-A596;C02-Check;;;100000;;;2023-09-08;14;2023-09-22;3;Cancelled;Pricing;GMF Price 60%-70% higher compare to local MRO in Vietnam
Bamboo Airways;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;V2500;VN-A595;C08-Check;;;150000;;;2023-10-02;24;2023-10-26;3;Cancelled;Pricing;GMF Price 60%-70% higher compare to local MRO in Vietnam
Bamboo Airways;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;LEAP 1A;VN-A593;C02-Check;;;100000;;;2023-10-11;14;2023-10-25;3;Cancelled;Pricing;GMF Price 60%-70% higher compare to local MRO in Vietnam
Bamboo Airways;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;CFM56-5B;VN-A594;C07+3Y+6Y+12Y;;;500000;;;2023-11-01;35;2023-12-06;3;Open;;
Vietnam Airlines;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;CFM56-5;VN-A325;12YR Check;;;250000;;;2023-03-10;31;2023-04-10;4;Cancelled;Internal Customer;VNA policy all the A321 12Y-Check performed in Vaeco (Own MRO)
Vietnam Airlines;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;CFM56-5;VN-A326;12YR Check;;;250000;;;2023-04-10;31;2023-05-11;4;Cancelled;Internal Customer;VNA policy all the maintenance performed in Vaeco (Own MRO)
Vietnam Airlines;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;CFM56-5;VN-A327;12YR Check;;;250000;;;2023-05-11;31;2023-06-11;4;Cancelled;Internal Customer;VNA Management decide to perform maintenance in Own MRO
Vietnam Airlines;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;CFM56-5;VN-A331;12YR Check;;;250000;;;2023-09-01;31;2023-10-02;4;Open;;
Vietnam Airlines;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;CFM56-5;VN-A329;12YR Check;;;250000;;;2023-10-02;31;2023-11-02;4;Open;;
Vietnam Airlines;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;CFM56-5;VN-A332;12YR Check;;;250000;;;2023-11-02;31;2023-12-03;4;Open;;
Vietjet Air;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;RR Trent 700;VN-A810;C01-Check;;;250000;;;2023-09-18;21;2023-10-09;3;Cancelled;Pricing;GMF Price is higher compare to local MRO in Vietnam
Vietjet Air;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;RR Trent 700;VN-A811;C01-Check;;;250000;;;2023-09-18;21;2023-10-09;3;Open;;
Avolon;Airframe;TMB Project;2023;NGA;;;Additional;;;;;DR;II;;;A320;MSN 3693;6Y-Check+Painting;;;300000;;;2023-03-15;45;2023-04-29;3;Cancelled;Internal Customer;Termination process not finalize
Avolon;Airframe;TMB Project;2023;NGA;;;Additional;;;;;DR;II;;;A320;MSN 3713;6Y-Check + Painting;;;300000;;;2023-04-15;45;2023-05-30;3;Cancelled;Internal Customer;Termination process not finalize
SAYWELL INTERNATIONAL;Material Trading;TMB Project;2023;NGA;;;Additional;;;;;AM;I;;;ATR Surplus Material;Various;Material Trading;;;500000;Submit pricing proposal for package ATR surplus part in amount of 1.2 mio and waiting feedback from customer.;;2023-03-06;90;2023-06-04;4;Open;;
Airfast Indonesia;Line;TMB Project;2023;NGA;;;Additional;;;;;YK;I;;;PK OCT;;Aircraft Parking;;;15000;;;2023-02-24;30;2023-03-26;1;Closed - In;;
Cebu Pacific;Airframe;TMB Project;2023;NGA;;;Additional;;;;;IH;II;;;A320;RP-C3272;Painting;;;60000;;;2023-02-03;13;2023-02-16;1;Closed - In;;
Martinair;Airframe;TMB Project;2023;NGA;;;Additional;;;;;JD;III;;;B747-400;PH-MPS;D06 + C03 +A09 + SSID + LH WLG + RH BLG + NLG;;;3440000;;;2023-04-10;73;2023-06-22;3;Open;;
Martinair;Airframe;TMB Project;2023;NGA;;;Additional;;;;;JD;III;;;B747-400F;PH-CKC;C04 + A09 + LDG Change;;;963500;;;2023-06-22;30;2023-07-22;3;Open;;
Global Aviation Consultancy;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;GE;EX-30002;C05-Check;;;175000;GMF is working under Operator Supervision;;2023-02-01;21;2023-02-22;1;Closed - Sales;;
TransNusa Aviation Mandiri;Airframe;TMB Project;2023;NGA;;;Additional;;;;;YK;I;;;A320;PK-TLB;C-Check;;;150000;;;2023-02-27;30;2023-03-29;1;Closed - In;;
K-mile;Engine & APU;TMB Project;2023;NGA;;;Additional;;;;;SS;II;;;Engine CFM56-3;857111;Recertification engine CFM56-3;;;43000;"waiting approval quotation.  ( customer already agree verbally)
menunggu BOD approval";;2023-04-23;14;2023-05-07;2;Open;;
Cebu Pacific;Airframe;TMB Project;2023;NGA;;;Additional;;;;;IH;II;;;A320;RP-C3273;Painting;;;60000;;;2023-03-17;13;2023-03-30;1;Closed - Sales;;
PDQ AIRSPARES  PTE LTD;Material Trading;TMB Project;2023;NGA;;;Additional;;;;;AM;I;;;Surplus Part;Various;Material Trading Offset;;;500000;Proposal price for surplus part based on PDQ request list in amount of 1,4mio already submitted, under review and waiting customer counter offer;;2023-03-06;90;2023-06-04;4;Open;;
PT. Muba Daya Pratama;IGTE;TMB Project;2023;NGA;;;Additional;;;;;AM;I;;;Turbin LM2500;Various;Pekerjaan Perbaikan dan Pemeliharaan Mesin Turbin LM 2500 PLTG Talang Duku;;;1500000;Proposal Harga sudah disampaikan tanggal 23 Februari 2023 dan sedang menunggu feedback dari customer.;;2023-04-23;180;2023-10-20;4;Open;;
Vietjet Air;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;CFM56-5B;VN-A670;C02-Check;;;100000;;;2023-02-10;14;2023-02-24;1;Closed - Sales;;
Pertamina RU IV;IGTE;TMB Project;2023;NGA;;;Additional;;;;;HH;I;;;Motor MV;;Repair Motor 048K101BM;;;55000;Submit tender tgl 13 Feb 2023;;2023-04-17;45;2023-06-01;3;Open;;
KLM Royal Dutch;Airframe;TMB Project;2023;NGA;;;Additional;;;;;JD;III;;;A330-200;PH-AOF;C02+IL Check;;;1200000;;;2023-11-20;45;2024-01-04;3;Open;;
Al Faradhi Aviation Academy;Learning;TMB Project;2023;NGA;;;Additional;;;;;RM;III;;;N.A;N.A;On line training;;;8000;;;2023-03-28;14;2023-04-11;4;Open;;
Iraqi Airways;Component;TMB Project;2023;NGA;;;Additional;;;;;RM;III;;;A320;YI-ARA;O;;;350000;;;2023-03-27;55;2023-05-21;4;Open;;
Wright Aero Component;Airframe;TMB Project;2023;NGA;;;Additional;;;;;RM;III;;;B737-500;ST-MRA;Tail repainting + seat reconfig;;;100000;;;2023-03-20;20;2023-04-09;4;Cancelled;Internal Customer;A/C is too old. More than 30 YO. Owner decided only maintain the engine and let the aircraft as is
Garuda Indonesia;Airframe;PBTH;2023;GA;;;RKAP;;;;;RY;KAM;;;B777;PK-GIA;3000 Days Inspection;;2310527.23;2310527;;;2023-01-01;66;2023-03-08;1;Closed - In;;
Air India;Airframe;TMB Project;2023;NGA;;;Additional;;;;;DR;II;;;B777-300ER;TBD;C-Check + Painting;;;300000;;;2023-03-15;30;2023-04-14;4;Cancelled;Capacity Capability;slot Not available on March
Garuda Indonesia;Airframe;TMB Retail;2023;GA;;;RKAP;;;;;RY;KAM;;;A330;PK-GHC;D-Check;;210000;210000;;;2023-01-01;20;2023-01-21;1;Closed - In;;
Garuda Indonesia;Airframe;TMB Retail;2023;GA;;;RKAP;;;;;RY;KAM;;;A330;PK-GPZ;D-Check + Component Completion;;846152;846152;;;2023-02-01;28;2023-03-01;1;Closed - In;;
Garuda Indonesia;Airframe;TMB Retail;2023;GA;;;RKAP;;;;;RY;KAM;;;A330;PK-GHD;D-Check + Component Completion;;3444331.23;3444331;;;2023-03-01;54;2023-04-24;1;Closed - In;;
Garuda Indonesia;Airframe;TMB Retail;2023;GA;;;RKAP;;;;;RY;KAM;;;A330;PK-GHA;D-Check + Component Completion;;2382466.75;2382467;;;2023-01-30;47;2023-03-18;1;Closed - In;;
Garuda Indonesia;Airframe;PBTH;2023;GA;;;RKAP;;;;;RY;KAM;;;A330;PK-GHG;C01-Check and 36+42 Months Inspection;;1108704.1;1108704;;;2023-03-09;20;2023-03-29;4;Cancelled;Missed Plan;SCMA ERROR
Garuda Indonesia;Engine & APU;TMB Retail;2023;GA;;;RKAP;;;;;RY;KAM;;;CFM56-7B;TBD;Overhaul;;7500000;7500000;;;2023-03-01;50;2023-04-20;1;Open;;
Garuda Indonesia;Engine & APU;TMB Retail;2023;GA;;;RKAP;;;;;RY;KAM;;;CFM56-7b;TBD;Overhaul;;7500000;7500000;;;2023-04-03;50;2023-05-23;1;Open;;
Garuda Indonesia;Engine & APU;TMB Retail;2023;GA;;;RKAP;;;;;RY;KAM;;;CFM56-7B;TBD;OVERHAUL;;7500000;7500000;;;2023-05-01;100;2023-08-09;1;Open;;
Garuda Indonesia;Engine & APU;TMB Retail;2023;GA;;;RKAP;;;;;RY;KAM;;;CFM56-7B;TBD;OVERHAUL;;7500000;7500000;;;2023-06-06;50;2023-07-26;1;Open;;
Citilink Indonesia;Component;PBTH;2023;GA;;;RKAP;;;;;AP;KAM;;;Component;TBD;Pooling Component;;6300000;6300000;;;2023-02-22;100;2023-06-02;4;Open;;
Gainjet;Line;TMB Project;2023;NGA;;;Additional;;;;;AR;II;;;AC;SX-ATF;A02 Check;;;33200;;;2023-02-15;1;2023-02-16;1;Closed - In;;
Pelita Air Service;Airframe;TMB Project;2023;NGA;;;Additional;;;;;CB;II;;;Aircraft;4780;Aircraft Livery painting;;;85000;;;2023-03-25;10;2023-04-04;3;Open;;
Pelita Air Service;Airframe;TMB Project;2023;NGA;;;Additional;;;;;CB;II;;;Aircraft;3626;Aircraft Livery Painting;;;85000;;;2023-04-17;10;2023-04-27;3;Open;;
Pelita Air Service;Airframe;TMB Project;2023;NGA;;;Additional;;;;;CB;II;;;Aircraft;3503;Airrcraft Livery Painting;;;84000;;;2023-04-24;10;2023-05-04;3;Open;;
Pelita Air Service;Airframe;TMB Project;2023;NGA;;;Additional;;;;;CB;II;;;Aircraft;4616;Aircraft Livery Painting;;;85000;;;2023-05-08;10;2023-05-18;3;Open;;
Vietjet Air;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;CFM56-5B;HS-VKA;Redelivery;;;1000000;;;2023-07-01;60;2023-08-30;3;Open;;
Vietjet Air;Airframe;TMB Project;2023;NGA;;;Additional;;;;;TS;II;;;CFM56-5B;VN-A695;Redelivery;;;1000000;;;2023-09-01;60;2023-10-31;3;Open;;
Tarintal Nasional Semesta Avasi;Engine & APU;TMB Project;2023;NGA;;;Additional;;;;;SS;II;;;CFM56-3C1;721785;balancing module HPT and Module HPC CFM56-3;;;20000;"waiting COGS from TV
menunggu balancing module esn 721607 selesai di TV";;2023-05-21;7;2023-05-28;3;Open;;
Wright Aero Component;Airframe;TMB Project;2023;NGA;;;Additional;;;;;RM;III;;;B737-94XER;Ex TC-MGH;C check;;;300000;;;2023-03-15;21;2023-04-05;4;Open;;
Wright Aero Component;Airframe;TMB Project;2023;NGA;;;Additional;;;;;RM;III;;;B737-900;Ex TC-MGI;C check + repaint;;;300000;;;2023-03-21;21;2023-04-11;4;Open;;
Akasa Aero Mandiri;Others;TMB Project;2023;NGA;;;Additional;;;;;AM;I;;;Scrap;Various;Scrap;;;22000;The transaction by limited biding and PT Akasa Aero Mandiri have announced the winner for the highest offering price.;;2023-03-06;60;2023-05-05;1;Closed - Sales;;
Air Atlanta Icelandic;Airframe;TMB Project;2023;NGA;;;Additional;;;;;JD;III;;;B744-400;9H-AZB;"C1, C2, C3 + LWR Check  +AD's "" LG Replacement";;;500000;;;2023-03-20;28;2023-04-17;3;Open;;
Serene Air;Engine & APU;TMB Project;2023;NGA;;;Additional;;;;;DR;II;;;CFM56-7B;ESN 896668;HPT Replacement;;;265000;;;2023-04-03;30;2023-05-03;3;Open;;
Cebu Pacific;Airframe;TMB Project;2023;NGA;;;Additional;;;;;IH;II;;;A320;RP-C3273;A/C Painting;;;61000;Waiting for aircraft induction;;2023-03-21;14;2023-04-04;1;Cancelled;Internal Customer;duplicate
ICC HVS CAPITAL;Engine & APU;TMB Project;2023;NGA;;;Additional;;;;;SS;II;;;CFM56-7B;892172;Repair;;;200000;COGS still in progress;;2023-05-15;14;2023-05-29;4;Open;;
ICC HVS CAPITAL;Engine & APU;TMB Project;2023;NGA;;;Additional;;;;;SS;II;;;Engine CFM56-7B;893136;Repair;;;200000;COGS in progress;;2023-06-25;14;2023-07-09;4;Open;;
Airfast Indonesia;Line;TMB Project;2023;NGA;;;Additional;;;;;YK;I;;;MD82;PK-OCT;Aircraft Parking;;;15000;;;2023-03-31;30;2023-04-30;1;Open;;
Garuda Indonesia;Component;PBTH;2023;GA;;;RKAP;;;;;RY;KAM;;;B777/b737-800/A330;VARIOUS;CRIMI;;334988.63;334989;;;2023-06-06;30;2023-07-06;1;Open;;
