name
A320
A321
A330
B737
B747-400
B777
BBJ
Fokker
CRJ
B737-300
B737-400
B737-500
B737-800
B737-900
B747-200
B737-700
ALL TYPE
F28 Mk 100
C130
B744
B777-300ER
A-332
A-333 OLD
A-333 NEW
B737-800 MAX
CRK
H130
MD 83
CRJ - 1000
MD-11
B737CL
B737-200
B747-400F
CN235
B747-300
B777-200
ATR72-500
B777-300
MR CLAIM
B737 MAX
MD 87
A340-300
A319
B737-700 BBJ
B737 Classic
747
APU GTCP 131-9B
737-400
A330-200
Mi-8
CFM56-3
A319-115
737-200
737500/200
CFM56-3C1
ATR72-600
747-412
GTCP131-9A
B737-8FE
CFM56-5
B747
ATR72
A319-132
CFM56-7
ATR42
B-737CL
APU A330 GTCP 331-350
Motor & Generator
Landing Gear B737NG
Mitsubishi 4x400MW 3x600MW 1x1000MW
GE Frame 9E 6x120MW
3x315MW
SIEMENS V94.2 120 MW
GE Frame 5
Hitachi 25
GE Frame 6
IP
ABB13E2 1x130MW GE Frame 7
HLT Full
PK-AZA
PK-AZK
PK-AZD
PK-AZE
PK-AXG
B757-200
B737-800 BBJ
747-422
737-347
CRJ 1000
ERJ 190
737 21/22
B787
A330-301
A330-300
ATR42-500
RP-C3341 
EC-MQK
PK-LEH
Accrue TC 18/08
HS-KMC
PK-LEF
PK-LEG
XU-707
SN.860203
RP-C3345
PK-LOH
OE-IEC
A-320
PK-GAS
PK-GAR
ATR
multiple
B737 Classic (MSG-3)
B737 Classic (MSG-2)
B737 Classic (WB)
B737-800 (WB)
ATR72-600 (WB)
cfm56-7B
B737 max 8
B737 NG
Reactor Filter
Motor Compressor
Traction Motor
Steam Turbine GT-501 Siemens
Major Inspection
B747-300F
Spey MK555-15P
B 737 NG (WB)
B737-300F
CFM56-5B
B737NG
LM2500
Brush
Rotor
GE Frame 3
PLTG
PLTD/ G
GE Nouvo Pignone
CFM56-3B1
Embraer 135
B737-800 
LINEAGE
ATR 72-600
GT 3.1
GT 4.1
GE 13E2
Generator
ERJ-190-100 ECJ
GTCP85-129H
B737-900ER
A330 NEO
737-800
A-320 Neo
B777 Freighter
ATR42/72
737
737NG
CRJ1000
C-130H
737CL
A320 Neo
HAWKER 4000
GTG 1 D OPERA
1C+2C+Out of phase 
A-332 NEW
A-332 NEO
A320-233 N
A320 - 233 New
A320-233 New
A320-233 Neo
A320-233 M
component ATR 42-500
GLOBAL
GTG 1D
A320-233 Mature
A320 - 233
H145
HELICOPTER
engine
Boeing 737 300
B747-200, CF6-50 EL
Motor 2110 KVA
Motor 1500KVA
steam turbine
Hawker
BBJ 737 700
Service IGB (Inlet Gear Box)
Air Conditioning
Gerbong Kereta KRL
Gas Turbine Part
Asesmen Generator
Cessna
B777-300ER 
A-333 NEO
AT7 
B747-200F
Motor
IGB Replacement
Engine Module Swap
Turbine Mid-Frame Exchange
LPT Exchange
GG Exchange
ABB13E1
A320-NEO
Casa 212
Turbine ABB 13E1
CTG 101 & 103
HGPI
Fan and Blower
pump
MD-80
CFM56-3B2
HGP GTG GE MS5001B
HGP GTG GE MS6001B
GSE
Inlet Condensor
Fabrication
Trolley Interior
LM6000
MOTOR CWP
CESSNA 172
piper PA44-180T
LM 6000
MS6001
A340-600
Rewinding
Compressor
ATR 72-500
Kawasaki M1A-13A
A321Neo
Others
Various
